Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,B365CH,B365CD,B365CA,HS,AS,HST,AST,PSH,PSD,PSA,HC,AC
2022-10-04,Cardiff,Blackburn,1,0,2.3,3.4,3.1,2.4,3.3,3.0,14,5,5,2,2.39,3.3,3.27,7,0
2022-10-04,Reading,Norwich,1,1,4.2,3.5,1.85,3.75,3.4,2.0,10,7,3,1,4.29,3.57,1.94,3,7
2022-10-05,Burnley,Stoke,1,1,1.72,3.6,5.25,1.55,3.8,6.5,13,6,6,4,1.74,3.86,5.07,15,2
2022-10-05,Hull,Wigan,2,1,2.62,3.25,2.75,2.55,3.2,2.9,11,12,5,4,2.69,3.35,2.8,9,5
2022-10-05,Middlesbrough,Birmingham,1,0,1.65,3.75,5.75,1.7,3.6,5.25,13,13,3,4,1.67,3.74,6.08,6,6
2022-10-05,Rotherham,Millwall,1,1,2.6,3.2,2.75,2.62,3.1,2.8,10,14,1,4,2.72,3.12,2.95,6,4
2022-10-05,Watford,Swansea,1,2,1.9,3.4,4.2,1.8,3.5,4.5,9,12,4,4,1.96,3.65,4.08,1,6
2022-10-05,Preston,West Brom,1,0,3.1,3.3,2.4,3.0,3.25,2.45,9,18,4,5,3.2,3.28,2.44,2,10
2022-10-07,QPR,Reading,2,1,1.95,3.4,3.8,1.9,3.4,4.0,11,9,5,2,2.01,3.51,4.05,4,5
2022-10-08,Birmingham,Bristol City,3,0,2.7,3.25,2.6,2.55,3.3,2.7,10,7,5,1,2.75,3.42,2.69,7,4
2022-10-08,Blackburn,Rotherham,3,0,1.9,3.4,4.2,1.9,3.4,4.33,19,9,6,2,1.93,3.6,4.32,8,3
2022-10-08,Blackpool,Watford,3,1,3.2,3.4,2.25,3.2,3.4,2.25,18,10,9,5,3.37,3.4,2.29,5,7
2022-10-08,Coventry,Burnley,0,1,3.1,3.3,2.37,3.25,3.25,2.3,6,13,0,4,3.17,3.47,2.36,2,7
2022-10-08,Millwall,Middlesbrough,2,0,2.7,3.2,2.7,2.3,3.2,3.3,9,7,7,1,2.75,3.25,2.81,0,7
2022-10-08,Norwich,Preston,2,3,1.7,3.6,5.25,1.7,3.6,5.25,17,8,8,5,1.72,3.78,5.38,8,3
2022-10-08,Stoke,Sheffield United,3,1,2.9,3.4,2.4,3.0,3.4,2.37,12,8,5,3,3.1,3.35,2.46,6,5
2022-10-08,Swansea,Sunderland,2,1,2.2,3.4,3.3,2.15,3.4,3.4,10,11,6,3,2.28,3.41,3.38,7,4
2022-10-08,West Brom,Luton,0,0,1.95,3.6,3.8,2.0,3.5,3.8,12,8,3,3,1.96,3.64,4.07,7,4
2022-10-08,Wigan,Cardiff,1,3,2.5,3.1,3.1,2.6,2.9,3.0,10,10,1,6,2.55,3.21,3.09,6,3
2022-10-09,Huddersfield,Hull,2,0,2.37,3.3,3.1,2.25,3.3,3.3,9,12,5,2,2.37,3.34,3.27,6,3
2022-10-11,Wigan,Blackburn,1,0,2.87,3.1,2.6,2.75,3.1,2.75,13,3,6,0,2.93,3.18,2.69,2,1
2022-10-12,Bristol City,Preston,2,1,2.45,3.2,3.2,2.45,3.2,3.0,13,8,4,2,2.48,3.25,3.25,5,1
2022-10-15,Luton,QPR,3,1,2.1,3.4,3.5,1.95,3.4,4.0,17,12,4,4,2.14,3.51,3.62,9,9
2022-10-15,Rotherham,Huddersfield,2,1,2.15,3.3,3.5,2.37,3.2,3.2,10,7,4,4,2.2,3.34,3.64,3,3
2022-10-15,Bristol City,Millwall,1,2,2.4,3.2,3.0,2.5,3.2,3.0,9,16,1,7,2.54,3.24,3.07,0,6
2022-10-15,Burnley,Swansea,4,0,1.75,3.75,4.6,1.66,4.0,5.0,10,6,5,2,1.79,3.81,4.82,5,6
2022-10-15,Cardiff,Coventry,0,1,2.2,3.3,3.4,2.3,3.3,3.2,15,11,1,4,2.25,3.38,3.47,12,7
2022-10-15,Middlesbrough,Blackburn,1,2,2.0,3.4,3.75,1.95,3.3,4.2,16,10,8,5,2.05,3.34,4.15,9,4
2022-10-15,Preston,Stoke,0,2,2.37,3.2,3.1,2.3,3.25,3.25,7,18,0,6,2.46,3.21,3.22,3,6
2022-10-15,Reading,West Brom,0,2,3.4,3.5,2.1,3.6,3.4,2.1,17,9,6,3,3.57,3.49,2.17,4,7
